userName,at,content,score,thumbsUpCount,content_processed_FINAL,tokenize_review,no_symbol,label
Fathir Pasha Ramadhan,10/18/2025 21:04,"woi ubi lembut benerin server lu lah biar player pd enjoy mainnya, mls bgt stiap lgi asik main psti dc, trus tiba tiba ercon apa bgt anj, blom lgi yg ban asal asalan pdhl ga salah tapi kena ban",1,0,ubi lembut benerin server lu biar player pd enjoy main mls banget stiap lgi asik main psti dc trus ercon banget anj blom lgi ban asal pdhl salah kena ban,"['ubi', 'lembut', 'benerin', 'server', 'lu', 'biar', 'player', 'pd', 'enjoy', 'main', 'mls', 'banget', 'stiap', 'lgi', 'asik', 'main', 'psti', 'dc', 'trus', 'ercon', 'banget', 'anj', 'blom', 'lgi', 'ban', 'asal', 'pdhl', 'salah', 'kena', 'ban']","['ubi', 'lembut', 'benerin', 'server', 'lu', 'biar', 'player', 'pd', 'enjoy', 'main', 'mls', 'banget', 'stiap', 'lgi', 'asik', 'main', 'psti', 'dc', 'trus', 'ercon', 'banget', 'anj', 'blom', 'lgi', 'ban', 'asal', 'pdhl', 'salah', 'kena', 'ban']",negative
Muhammad Abyan Hilmy,10/18/2025 20:52,error connection mulu anj,1,0,error connection mulu anjing,"['error', 'connection', 'mulu', 'anjing']","['error', 'connection', 'mulu', 'anjing']",negative
"Dignasia Palani Anggari, S. Pd.",10/18/2025 18:41,permai an ini sangat seru,5,0,permai an seru,"['permai', 'an', 'seru']","['permai', 'an', 'seru']",positive
Rayyan Saputra26,10/18/2025 17:26,"please fix the server to make players enjoy playing, instead of making them bored because of constant disconnects/errcons.",2,0,please fix the server to make players enjoy playing instead of making them bored because of constant disconnectserrcons,"['please', 'fix', 'the', 'server', 'to', 'make', 'players', 'enjoy', 'playing', 'instead', 'of', 'making', 'them', 'bored', 'because', 'of', 'constant', 'disconnectserrcons']","['please', 'fix', 'the', 'server', 'to', 'make', 'players', 'enjoy', 'playing', 'instead', 'of', 'making', 'them', 'bored', 'because', 'of', 'constant', 'disconnectserrcons']",negative
Muhammad Raihan Noor,10/18/2025 15:18,aneh mau login aja susah di kira pake vpn kocak,1,0,aneh login susah vpn kocak,"['aneh', 'login', 'susah', 'vpn', 'kocak']","['aneh', 'login', 'susah', 'vpn', 'kocak']",negative
Sebastianus Cahyadi,10/18/2025 14:45,good game,5,0,good game,"['good', 'game']","['good', 'game']",positive
Nabil Yanwar,10/18/2025 14:19,mantap!!!!,5,0,mantap,['mantap'],['mantap'],positive
JunBal Ridho,10/18/2025 14:02,game rusak,1,0,game rusak,"['game', 'rusak']","['game', 'rusak']",negative
Wahyu W.,10/18/2025 12:46,"ada bug yg menurut saya sangat mengganggu ketika ingin chat dengan player lain, suka tiba tiba ilang ngga terkirim chatnya",1,0,bug ganggu chat player suka ilang ngga kirim chatnya,"['bug', 'ganggu', 'chat', 'player', 'suka', 'ilang', 'ngga', 'kirim', 'chatnya']","['bug', 'ganggu', 'chat', 'player', 'suka', 'ilang', 'ngga', 'kirim', 'chatnya']",negative
Evening Meo,10/18/2025 12:38,"hapus gt bikin new game mirip seperti growtopia dengan sistem ya g lebih bagus, sistem gt saat ini sangat busuk buruk",1,0,hapus new game sistem bagus sistem busuk buruk,"['hapus', 'new', 'game', 'sistem', 'bagus', 'sistem', 'busuk', 'buruk']","['hapus', 'new', 'game', 'sistem', 'bagus', 'sistem', 'busuk', 'buruk']",negative
Muhammad Aqso,10/18/2025 12:35,dead game lol don't update this game lol ubisof kontol,5,0,dead game lol dont update this game lol ubisof kontol,"['dead', 'game', 'lol', 'dont', 'update', 'this', 'game', 'lol', 'ubisof', 'kontol']","['dead', 'game', 'lol', 'dont', 'update', 'this', 'game', 'lol', 'ubisof', 'kontol']",positive
Marlia Safitri,10/18/2025 12:31,game aneh aku awal download langsung top up tapi akun ku tiba-tiba di suspend tanpa alasan lemah kali sistem kalian,1,0,game aneh download langsung top up akun ku tibatiba suspend alas lemah kali sistem,"['game', 'aneh', 'download', 'langsung', 'top', 'up', 'akun', 'ku', 'tibatiba', 'suspend', 'alas', 'lemah', 'kali', 'sistem']","['game', 'aneh', 'download', 'langsung', 'top', 'up', 'akun', 'ku', 'tibatiba', 'suspend', 'alas', 'lemah', 'kali', 'sistem']",negative
Cuk Darkk,10/18/2025 12:20,ayolah server ku cuma mau beli tools aja gk bisa mssuk world karna overload setiap hari ercon ercon trus gimana orang mau suka sama game nya kalo game nya seperti ini susah login ercon server overload cuma gitu gitu aja gk pernah lancar server nya,1,0,ayo server ku beli tools mssuk world karna overload ercon ercon trus gimana orang suka game game susah login ercon server overload lancar server,"['ayo', 'server', 'ku', 'beli', 'tools', 'mssuk', 'world', 'karna', 'overload', 'ercon', 'ercon', 'trus', 'gimana', 'orang', 'suka', 'game', 'game', 'susah', 'login', 'ercon', 'server', 'overload', 'lancar', 'server']","['ayo', 'server', 'ku', 'beli', 'tools', 'mssuk', 'world', 'karna', 'overload', 'ercon', 'ercon', 'trus', 'gimana', 'orang', 'suka', 'game', 'game', 'susah', 'login', 'ercon', 'server', 'overload', 'lancar', 'server']",negative
Rian. Pkt108,10/18/2025 12:15,"kenapa setelah abdet malah hilang semua world balik awal main wl dl spirit toko yang gua bangun hilang semua asli gak masuk akal kali dah, tolong pihak growtopia tanggapi ini hasil kerja gua hilang semua ini",1,0,abdet hilang world main wl dl spirit toko bangun hilang asli masuk akal kali tolong tanggap hasil kerja hilang,"['abdet', 'hilang', 'world', 'main', 'wl', 'dl', 'spirit', 'toko', 'bangun', 'hilang', 'asli', 'masuk', 'akal', 'kali', 'tolong', 'tanggap', 'hasil', 'kerja', 'hilang']","['abdet', 'hilang', 'world', 'main', 'wl', 'dl', 'spirit', 'toko', 'bangun', 'hilang', 'asli', 'masuk', 'akal', 'kali', 'tolong', 'tanggap', 'hasil', 'kerja', 'hilang']",negative
Panda Gaming,10/18/2025 11:33,bad server,5,0,bad server,"['bad', 'server']","['bad', 'server']",positive
VINN RAZ,10/18/2025 10:59,"game nya bagus cuma servernya , banyak bot gak dibanned plis mods yg digame banned bot spammer",5,1,game bagus servernya bot dibanned plis mods digame banned bot spammer,"['game', 'bagus', 'servernya', 'bot', 'dibanned', 'plis', 'mods', 'digame', 'banned', 'bot', 'spammer']","['game', 'bagus', 'servernya', 'bot', 'dibanned', 'plis', 'mods', 'digame', 'banned', 'bot', 'spammer']",positive
Ferdian Hendru,10/18/2025 10:32,tolong perbaiki server saya sudah +30hari mencoba login tetapi selalu ada masalah seperti ercon dan lainnya stupit,1,2,tolong baik server coba login ercon stupit,"['tolong', 'baik', 'server', 'coba', 'login', 'ercon', 'stupit']","['tolong', 'baik', 'server', 'coba', 'login', 'ercon', 'stupit']",negative
Muammar syarif qadhafy,10/18/2025 8:58,game tolol login aja susah banget semenjak ubisoft yg develop makin aneh ajaa blog,1,1,game tolol login susah banget semenjak ubisoft develop aneh ajaa blog,"['game', 'tolol', 'login', 'susah', 'banget', 'semenjak', 'ubisoft', 'develop', 'aneh', 'ajaa', 'blog']","['game', 'tolol', 'login', 'susah', 'banget', 'semenjak', 'ubisoft', 'develop', 'aneh', 'ajaa', 'blog']",negative
Nizampontianak,10/18/2025 6:55,i didn't know i was farming and suddenly got suspended. i'll share it on tiktok if i do growtopia very bad and unclear i have topped up but i am in the band tampa witness,1,2,didnt know was farming and suddenly got suspended ill share it on tiktok if do very bad and unclear have topped up but am in the band tampa witness,"['didnt', 'know', 'was', 'farming', 'and', 'suddenly', 'got', 'suspended', 'ill', 'share', 'it', 'on', 'tiktok', 'if', 'do', 'very', 'bad', 'and', 'unclear', 'have', 'topped', 'up', 'but', 'am', 'in', 'the', 'band', 'tampa', 'witness']","['didnt', 'know', 'was', 'farming', 'and', 'suddenly', 'got', 'suspended', 'ill', 'share', 'it', 'on', 'tiktok', 'if', 'do', 'very', 'bad', 'and', 'unclear', 'have', 'topped', 'up', 'but', 'am', 'in', 'the', 'band', 'tampa', 'witness']",negative
Yukihira Souma,10/18/2025 6:45,"server sampah ngelag banget,kebanyak bot,dari pada ban nyasar mending ban tuh bot",1,1,server sampah ngelag bangetkebanyak botdari ban nyasar mending ban bot,"['server', 'sampah', 'ngelag', 'bangetkebanyak', 'botdari', 'ban', 'nyasar', 'mending', 'ban', 'bot']","['server', 'sampah', 'ngelag', 'bangetkebanyak', 'botdari', 'ban', 'nyasar', 'mending', 'ban', 'bot']",negative
Lana Lana onyeng,10/18/2025 6:32,"the game is unclear, hopefully it goes bankrupt, 1. my main account was suspended even though i only entered the wrong world csn, 2. even logging in is difficult because of this and that problem, what kind of game is this, it's so unclear",1,0,the game is unclear hopefully it goes bankrupt my main account was suspended even though only entered the wrong world csn even logging in is difficult because of this and that problem what kind of game is this its so unclear,"['the', 'game', 'is', 'unclear', 'hopefully', 'it', 'goes', 'bankrupt', 'my', 'main', 'account', 'was', 'suspended', 'even', 'though', 'only', 'entered', 'the', 'wrong', 'world', 'csn', 'even', 'logging', 'in', 'is', 'difficult', 'because', 'of', 'this', 'and', 'that', 'problem', 'what', 'kind', 'of', 'game', 'is', 'this', 'its', 'so', 'unclear']","['the', 'game', 'is', 'unclear', 'hopefully', 'it', 'goes', 'bankrupt', 'my', 'main', 'account', 'was', 'suspended', 'even', 'though', 'only', 'entered', 'the', 'wrong', 'world', 'csn', 'even', 'logging', 'in', 'is', 'difficult', 'because', 'of', 'this', 'and', 'that', 'problem', 'what', 'kind', 'of', 'game', 'is', 'this', 'its', 'so', 'unclear']",negative
Mhammat Rivai,10/18/2025 6:17,sampah,1,0,sampah,['sampah'],['sampah'],negative
yusril izha mahendra,10/18/2025 6:09,"banyak kendala nya sering di kira guna vpn,sering kena ban nyasar,sering akun limit,tolong di buat lebih baik,saya juga player lama cuman dulu gt ga gini",1,0,kendala vpnsering kena ban nyasarsering akun limittolong baiksaya player cuman gin,"['kendala', 'vpnsering', 'kena', 'ban', 'nyasarsering', 'akun', 'limittolong', 'baiksaya', 'player', 'cuman', 'gin']","['kendala', 'vpnsering', 'kena', 'ban', 'nyasarsering', 'akun', 'limittolong', 'baiksaya', 'player', 'cuman', 'gin']",negative
fandi ahmad maulana putra Tzy,10/18/2025 5:56,"game bagus server ampas mau login aja hrs di spam try login again nunggu 1 hari 2 hari baru bs login,klo ud bs masuk jg pling cm 10 mnitan abistu dc kena spam try login again lagi,prasaan kalo bot yang login lancar2 aja y??😹",1,2,game bagus server ampas login hrs spam try login again nunggu bs loginklo ud bs masuk jg pling cm mnitan abistu dc kena spam try login again lagiprasaan bot login lancar,"['game', 'bagus', 'server', 'ampas', 'login', 'hrs', 'spam', 'try', 'login', 'again', 'nunggu', 'bs', 'loginklo', 'ud', 'bs', 'masuk', 'jg', 'pling', 'cm', 'mnitan', 'abistu', 'dc', 'kena', 'spam', 'try', 'login', 'again', 'lagiprasaan', 'bot', 'login', 'lancar']","['game', 'bagus', 'server', 'ampas', 'login', 'hrs', 'spam', 'try', 'login', 'again', 'nunggu', 'bs', 'loginklo', 'ud', 'bs', 'masuk', 'jg', 'pling', 'cm', 'mnitan', 'abistu', 'dc', 'kena', 'spam', 'try', 'login', 'again', 'lagiprasaan', 'bot', 'login', 'lancar']",negative
Julz,10/18/2025 5:42,"badd serverrr, cant login",1,0,badd serverrr cant login,"['badd', 'serverrr', 'cant', 'login']","['badd', 'serverrr', 'cant', 'login']",negative
Agha Putra Ankasa,10/18/2025 4:58,bug eror connecting,1,0,bug eror connecting,"['bug', 'eror', 'connecting']","['bug', 'eror', 'connecting']",negative
Muhammad Idan,10/18/2025 4:22,"game nya ngelag banget semenjak di pegang ubisoft, malah jadi deadgame , saran saya perbahus server saja dulu gausah kaya gini, player banyak yang quit karena server gamenya rusak",1,1,game ngelag banget semenjak pegang ubisoft deadgame saran perbahus server gausah kaya gin player quit server gamenya rusak,"['game', 'ngelag', 'banget', 'semenjak', 'pegang', 'ubisoft', 'deadgame', 'saran', 'perbahus', 'server', 'gausah', 'kaya', 'gin', 'player', 'quit', 'server', 'gamenya', 'rusak']","['game', 'ngelag', 'banget', 'semenjak', 'pegang', 'ubisoft', 'deadgame', 'saran', 'perbahus', 'server', 'gausah', 'kaya', 'gin', 'player', 'quit', 'server', 'gamenya', 'rusak']",negative
Wesley Bong,10/18/2025 2:08,gk bisa login,1,0,login,['login'],['login'],negative
Qaf Kalijaga,10/18/2025 1:43,"game sampah, developer tolol, mods tolol koruptor, bukannya benerin server tiap hari overload malah ributin world asal suspend akun orang ga bersalah",1,0,game sampah developer tolol mods tolol koruptor benerin server overload ributin world suspend akun orang salah,"['game', 'sampah', 'developer', 'tolol', 'mods', 'tolol', 'koruptor', 'benerin', 'server', 'overload', 'ributin', 'world', 'suspend', 'akun', 'orang', 'salah']","['game', 'sampah', 'developer', 'tolol', 'mods', 'tolol', 'koruptor', 'benerin', 'server', 'overload', 'ributin', 'world', 'suspend', 'akun', 'orang', 'salah']",negative
Nicholas Lin,10/17/2025 23:20,awful servers,1,0,awful servers,"['awful', 'servers']","['awful', 'servers']",negative
Vike Nikke,10/17/2025 22:39,apk erorr,1,0,apk erorr,"['apk', 'erorr']","['apk', 'erorr']",negative
jumaing 22,10/17/2025 22:06,bagus game nya tapi sering gabisa masuk,4,0,bagus game gabisa masuk,"['bagus', 'game', 'gabisa', 'masuk']","['bagus', 'game', 'gabisa', 'masuk']",positive
sofa tegar,10/17/2025 21:07,sistem game eror,1,1,sistem game eror,"['sistem', 'game', 'eror']","['sistem', 'game', 'eror']",negative
reyhan m. reyhan,10/17/2025 17:14,jelek,1,1,jelek,['jelek'],['jelek'],negative
Pippo Alfauzan,10/17/2025 16:25,"game sampah, login aja kgk bisa",1,0,game sampah login kgk,"['game', 'sampah', 'login', 'kgk']","['game', 'sampah', 'login', 'kgk']",negative
VA NN,10/17/2025 15:38,benarin server anj,5,0,benarin server anjing,"['benarin', 'server', 'anjing']","['benarin', 'server', 'anjing']",positive
Boboi Boy,10/17/2025 15:35,"okay, fine, why does my account always get banned?",1,0,okay fine why does my account always get banned,"['okay', 'fine', 'why', 'does', 'my', 'account', 'always', 'get', 'banned']","['okay', 'fine', 'why', 'does', 'my', 'account', 'always', 'get', 'banned']",negative
Ridho Maulana,10/17/2025 15:07,why am i always stuck on (please try again in 30 seconds) please fix it,1,4,why am always stuck on please try again in seconds please fix it,"['why', 'am', 'always', 'stuck', 'on', 'please', 'try', 'again', 'in', 'seconds', 'please', 'fix', 'it']","['why', 'am', 'always', 'stuck', 'on', 'please', 'try', 'again', 'in', 'seconds', 'please', 'fix', 'it']",negative
gibranhalo ya,10/17/2025 14:50,ini bagus banget,5,0,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",positive
Tugas Situs,10/17/2025 14:07,"harap jangan main ini game moderatornya gak ada otak, masa diem bentar taunya kena ban. jangan lah asal ban tanpa sebab tayi tayi",1,0,harap main game moderator otak diem bentar tau kena ban ban tayi tayi,"['harap', 'main', 'game', 'moderator', 'otak', 'diem', 'bentar', 'tau', 'kena', 'ban', 'ban', 'tayi', 'tayi']","['harap', 'main', 'game', 'moderator', 'otak', 'diem', 'bentar', 'tau', 'kena', 'ban', 'ban', 'tayi', 'tayi']",negative
OKINE STAR SYNDROME,10/17/2025 14:07,game kacaww pokoknya,1,0,game kacaww pokok,"['game', 'kacaww', 'pokok']","['game', 'kacaww', 'pokok']",negative
Wildansyah,10/17/2025 13:50,"game gajelas susah untuk membuat grow id baru , mod cuek2 gak niat kerja, membuat pemain-pemain lama malas untuk mengulang game kembali",1,1,game gajelas susah grow id mod cuek niat kerja pemainpemain malas ulang game,"['game', 'gajelas', 'susah', 'grow', 'id', 'mod', 'cuek', 'niat', 'kerja', 'pemainpemain', 'malas', 'ulang', 'game']","['game', 'gajelas', 'susah', 'grow', 'id', 'mod', 'cuek', 'niat', 'kerja', 'pemainpemain', 'malas', 'ulang', 'game']",negative
Susi Tra Dewi,10/17/2025 13:17,game gacor banyak bug😹,2,0,game gacor bug,"['game', 'gacor', 'bug']","['game', 'gacor', 'bug']",negative
14. Muhammad Andhika Arr.,10/17/2025 12:27,"tolong, perbaiki server dan bug disini, lalu tolong lebih sering ban bot bot auto farming, jangan ban orang yang tidak bersalah",5,0,tolong baik server bug tolong ban bot bot auto farming ban orang salah,"['tolong', 'baik', 'server', 'bug', 'tolong', 'ban', 'bot', 'bot', 'auto', 'farming', 'ban', 'orang', 'salah']","['tolong', 'baik', 'server', 'bug', 'tolong', 'ban', 'bot', 'bot', 'auto', 'farming', 'ban', 'orang', 'salah']",positive
Muhammad Gibran,10/17/2025 11:46,game mantap,5,0,game mantap,"['game', 'mantap']","['game', 'mantap']",positive
Barora Taufa,10/17/2025 11:28,aku seriing terjebak di loading login di tuduh pke vpn lah apalah kita itu cuman mau main game mu ubisoft tolong di benarkan secepatnya bukan nya ngebenrin bug malah update terus sekali lagi tolong secepatnya di benarkan karna kami ini hanya ingin bermain game mu :),1,0,seriing jebak loading login tuduh pke vpn apa cuman main game mu ubisoft tolong benar cepat ngebenrin bug update tolong cepat benar karna main game mu,"['seriing', 'jebak', 'loading', 'login', 'tuduh', 'pke', 'vpn', 'apa', 'cuman', 'main', 'game', 'mu', 'ubisoft', 'tolong', 'benar', 'cepat', 'ngebenrin', 'bug', 'update', 'tolong', 'cepat', 'benar', 'karna', 'main', 'game', 'mu']","['seriing', 'jebak', 'loading', 'login', 'tuduh', 'pke', 'vpn', 'apa', 'cuman', 'main', 'game', 'mu', 'ubisoft', 'tolong', 'benar', 'cepat', 'ngebenrin', 'bug', 'update', 'tolong', 'cepat', 'benar', 'karna', 'main', 'game', 'mu']",negative
Yuuki Sann さ,10/17/2025 10:46,"game aneh, mau berantas bot tapi gapernah bisa, csn masih dimana mana, yang jadi korban malah player legal yang mau login malah dituduh make vpn, error login, udah make segala tutor tetep aja gabisa",1,2,game aneh berantas bot gapernah csn mana korban player legal login tuduh make vpn error login udah make tutor tetep gabisa,"['game', 'aneh', 'berantas', 'bot', 'gapernah', 'csn', 'mana', 'korban', 'player', 'legal', 'login', 'tuduh', 'make', 'vpn', 'error', 'login', 'udah', 'make', 'tutor', 'tetep', 'gabisa']","['game', 'aneh', 'berantas', 'bot', 'gapernah', 'csn', 'mana', 'korban', 'player', 'legal', 'login', 'tuduh', 'make', 'vpn', 'error', 'login', 'udah', 'make', 'tutor', 'tetep', 'gabisa']",negative
Rizz Ganzz,10/17/2025 10:46,"game nya overall bagus minus nya di saat masuk ke dalam gamenya, susah dan saya harap pihak growtopia memperbaiki masalah tersebut🙏🙏",5,0,game overall bagus minus masuk gamenya susah harap baik,"['game', 'overall', 'bagus', 'minus', 'masuk', 'gamenya', 'susah', 'harap', 'baik']","['game', 'overall', 'bagus', 'minus', 'masuk', 'gamenya', 'susah', 'harap', 'baik']",positive
Liam Lis,10/17/2025 9:42,"bad game , bad server , bad everything in this game, and we can get our account banned even though we haven't done anything wrong (the game is broken)",1,2,bad game bad server bad everything in this game and we can get our account banned even though we havent done anything wrong the game is broken,"['bad', 'game', 'bad', 'server', 'bad', 'everything', 'in', 'this', 'game', 'and', 'we', 'can', 'get', 'our', 'account', 'banned', 'even', 'though', 'we', 'havent', 'done', 'anything', 'wrong', 'the', 'game', 'is', 'broken']","['bad', 'game', 'bad', 'server', 'bad', 'everything', 'in', 'this', 'game', 'and', 'we', 'can', 'get', 'our', 'account', 'banned', 'even', 'though', 'we', 'havent', 'done', 'anything', 'wrong', 'the', 'game', 'is', 'broken']",negative
Tare Kok Haw,10/17/2025 9:36,"permainan yang belum layak beredar!! untuk login aja sulit, sering dc, error, dll. mending hapus aja nih permainan nya, idio0ot.!!",1,0,main layak edar login sulit dc error dll mending hapus main idioot,"['main', 'layak', 'edar', 'login', 'sulit', 'dc', 'error', 'dll', 'mending', 'hapus', 'main', 'idioot']","['main', 'layak', 'edar', 'login', 'sulit', 'dc', 'error', 'dll', 'mending', 'hapus', 'main', 'idioot']",negative
Ahmad Alfan,10/17/2025 9:05,"please fix the ubisoft game, i can't log in, please delete the pack that has the roulette so that other people don't use it as csn.",1,2,please fix the ubisoft game cant login in please delete the pack that has the roulette so that other people dont use it as csn,"['please', 'fix', 'the', 'ubisoft', 'game', 'cant', 'login', 'in', 'please', 'delete', 'the', 'pack', 'that', 'has', 'the', 'roulette', 'so', 'that', 'other', 'people', 'dont', 'use', 'it', 'as', 'csn']","['please', 'fix', 'the', 'ubisoft', 'game', 'cant', 'login', 'in', 'please', 'delete', 'the', 'pack', 'that', 'has', 'the', 'roulette', 'so', 'that', 'other', 'people', 'dont', 'use', 'it', 'as', 'csn']",negative
Vero Pratama,10/17/2025 8:34,"perbaikiiiii masalah login nya, mau main aja susah banget",1,0,perbaikiiiii login main susah banget,"['perbaikiiiii', 'login', 'main', 'susah', 'banget']","['perbaikiiiii', 'login', 'main', 'susah', 'banget']",negative
Andre Jhonatan,10/17/2025 8:32,trimakasih,5,0,trimakasih,['trimakasih'],['trimakasih'],positive
Reza Rian,10/17/2025 8:17,game busuk. cape cape main di ban,1,0,game busuk cape cape main ban,"['game', 'busuk', 'cape', 'cape', 'main', 'ban']","['game', 'busuk', 'cape', 'cape', 'main', 'ban']",negative
Tl Gan,10/17/2025 7:31,gak da alasan,1,0,da alas,"['da', 'alas']","['da', 'alas']",negative
Koss Kos,10/17/2025 7:27,crazy game,5,0,crazy game,"['crazy', 'game']","['crazy', 'game']",positive
Mrava Musa,10/17/2025 7:26,nggak bisa dimainin oy gagal join server truss🤬😭,1,0,nggak dimainin oy gagal join server truss,"['nggak', 'dimainin', 'oy', 'gagal', 'join', 'server', 'truss']","['nggak', 'dimainin', 'oy', 'gagal', 'join', 'server', 'truss']",negative
Muhammad zulfikri,10/17/2025 7:22,gk bisa main mulu karna kata nya terdekteksi vpn gk jelas,1,0,main mulu karna terdekteksi vpn,"['main', 'mulu', 'karna', 'terdekteksi', 'vpn']","['main', 'mulu', 'karna', 'terdekteksi', 'vpn']",negative
KZ.VENOMS,10/17/2025 7:01,tolong perbaiki masalah error connecting dan juga perbaiki server,1,0,tolong baik error connecting baik server,"['tolong', 'baik', 'error', 'connecting', 'baik', 'server']","['tolong', 'baik', 'error', 'connecting', 'baik', 'server']",negative
Refan Saja,10/17/2025 6:18,plss bro server update me erro login,1,0,plss bro server update me erro login,"['plss', 'bro', 'server', 'update', 'me', 'erro', 'login']","['plss', 'bro', 'server', 'update', 'me', 'erro', 'login']",negative
farhan Al,10/17/2025 6:08,pls make server better,5,0,pls make server better,"['pls', 'make', 'server', 'better']","['pls', 'make', 'server', 'better']",positive
Naomi Naf,10/17/2025 5:54,suka tiba - tiba logout sendiri akunnya,1,1,suka logout akun,"['suka', 'logout', 'akun']","['suka', 'logout', 'akun']",negative
MUHAMMAD AMRU SYUJA,10/17/2025 5:35,ngga bisaa login,2,0,ngga bisaa login,"['ngga', 'bisaa', 'login']","['ngga', 'bisaa', 'login']",negative
Kevin Lievius,10/17/2025 5:04,gabisa log in,5,0,gabisa login in,"['gabisa', 'login', 'in']","['gabisa', 'login', 'in']",positive
guard gaming,10/17/2025 4:57,game tidak terurus,1,0,game urus,"['game', 'urus']","['game', 'urus']",negative
Yandi Aan,10/17/2025 3:46,kenapa ngestuck di please try login again terus,5,0,ngestuck please try login again,"['ngestuck', 'please', 'try', 'login', 'again']","['ngestuck', 'please', 'try', 'login', 'again']",positive
Arya Sani,10/17/2025 2:16,tolong di fix servernya kadang ada masalah denagb sistem vpn padalah saya tidak menggunakan vpn apapun. game babi gk ada otak anj,1,12,tolong fix servernya kadang denagb sistem vpn pada vpn apa game babi otak anjing,"['tolong', 'fix', 'servernya', 'kadang', 'denagb', 'sistem', 'vpn', 'pada', 'vpn', 'apa', 'game', 'babi', 'otak', 'anjing']","['tolong', 'fix', 'servernya', 'kadang', 'denagb', 'sistem', 'vpn', 'pada', 'vpn', 'apa', 'game', 'babi', 'otak', 'anjing']",negative
Zahran Zulfakar,10/17/2025 2:10,"plisss hapus semua bot dan permudah login, susah banget login nya, pliss banget hapus semua data growtopia, ulang seperti dulu lagi",1,0,plisss hapus bot mudah login susah banget login pliss banget hapus data ulang,"['plisss', 'hapus', 'bot', 'mudah', 'login', 'susah', 'banget', 'login', 'pliss', 'banget', 'hapus', 'data', 'ulang']","['plisss', 'hapus', 'bot', 'mudah', 'login', 'susah', 'banget', 'login', 'pliss', 'banget', 'hapus', 'data', 'ulang']",negative
Wildan Fr,10/17/2025 1:44,"kali ke 2 nya gw kesuspend tanpa alasan yang jelas, gw cuma farming chandelier & buka world ssp, malah ke ban, sekalinya ke suspend juga bisa 200 harian",1,0,kali kesuspend alas farming chandelier buka world ssp ban sekali suspend hari,"['kali', 'kesuspend', 'alas', 'farming', 'chandelier', 'buka', 'world', 'ssp', 'ban', 'sekali', 'suspend', 'hari']","['kali', 'kesuspend', 'alas', 'farming', 'chandelier', 'buka', 'world', 'ssp', 'ban', 'sekali', 'suspend', 'hari']",negative
Fernandes Andrean,10/17/2025 0:39,server make real player cannot login and the bot easy login zz,1,0,server make real player can not login and the bot easy login zz,"['server', 'make', 'real', 'player', 'can', 'not', 'login', 'and', 'the', 'bot', 'easy', 'login', 'zz']","['server', 'make', 'real', 'player', 'can', 'not', 'login', 'and', 'the', 'bot', 'easy', 'login', 'zz']",negative
Salman Vano,10/17/2025 0:29,"boy nya ban napa sih, ngapain sih bot pelihara, nyusahin player doang sama kek dev",2,0,boy ban napa ngapain bot pelihara nyusahin player doang dev,"['boy', 'ban', 'napa', 'ngapain', 'bot', 'pelihara', 'nyusahin', 'player', 'doang', 'dev']","['boy', 'ban', 'napa', 'ngapain', 'bot', 'pelihara', 'nyusahin', 'player', 'doang', 'dev']",negative
Rachel Adella,10/16/2025 23:29,"makin di update bukannya makin lancar mala tambah parah, nanti dikira pake von lah, dikit dikit error connection. mohon diperbaiki lah biar kayak dulu lagi",1,0,update lancar mala parah von dikit dikit error connection mohon baik biar kayak,"['update', 'lancar', 'mala', 'parah', 'von', 'dikit', 'dikit', 'error', 'connection', 'mohon', 'baik', 'biar', 'kayak']","['update', 'lancar', 'mala', 'parah', 'von', 'dikit', 'dikit', 'error', 'connection', 'mohon', 'baik', 'biar', 'kayak']",negative
Jihan Irfansyah,10/16/2025 20:40,ok,5,0,ok,['ok'],['ok'],positive
Adrian Fadillah,10/16/2025 18:36,peak game,5,0,peak game,"['peak', 'game']","['peak', 'game']",positive
Muhammad Juliano,10/16/2025 18:34,tolong saya ga bisa login saya tidak memakai vpn sudah 1 jam an login baru masuk eror koneksi terus,1,0,tolong login pakai vpn jam an login masuk eror koneksi,"['tolong', 'login', 'pakai', 'vpn', 'jam', 'an', 'login', 'masuk', 'eror', 'koneksi']","['tolong', 'login', 'pakai', 'vpn', 'jam', 'an', 'login', 'masuk', 'eror', 'koneksi']",negative
Muhammad Raja,10/16/2025 17:52,"untuk login aja susah, tolong lah. udah game banyak bot, login susah, makin sini malah jadi turun kualitas gamenya.",1,0,login susah tolong udah game bot login susah turun kualitas gamenya,"['login', 'susah', 'tolong', 'udah', 'game', 'bot', 'login', 'susah', 'turun', 'kualitas', 'gamenya']","['login', 'susah', 'tolong', 'udah', 'game', 'bot', 'login', 'susah', 'turun', 'kualitas', 'gamenya']",negative
Haryanti Wulan,10/16/2025 17:34,lu tu bukan cuma ngurus item baru urus juga server lu tolol game seru dev nya aja yang bikin emosi,2,0,lu tu ngurus item urus server lu tolol game seru dev emosi,"['lu', 'tu', 'ngurus', 'item', 'urus', 'server', 'lu', 'tolol', 'game', 'seru', 'dev', 'emosi']","['lu', 'tu', 'ngurus', 'item', 'urus', 'server', 'lu', 'tolol', 'game', 'seru', 'dev', 'emosi']",negative
